"S.No","ID","Part.Number","Date","Available.Quantity","Issue","Return","Order","Repair.Calibrate","Scrap","Unit.Cost"
89,497,"GN-309",2016-01-29,6,3,0,4,0,0,67
90,497,"GN-309",2016-01-28,5,1,0,4,0,0,67
91,497,"GN-309",2016-01-27,2,0,0,0,0,0,67
92,497,"GN-309",2016-01-26,2,0,0,0,0,0,67
93,497,"GN-309",2016-01-25,2,4,0,0,0,0,67
94,497,"GN-309",2016-01-24,6,0,0,0,0,0,67
95,497,"GN-309",2016-01-23,6,0,0,0,0,0,67
96,497,"GN-309",2016-01-22,6,1,0,4,0,0,67
97,497,"GN-309",2016-01-21,3,0,0,0,0,0,67
98,497,"GN-309",2016-01-20,3,1,0,4,0,0,67
99,497,"GN-309",2016-01-19,0,0,0,0,0,0,67
100,497,"GN-309",2016-01-18,0,0,0,0,0,0,67
101,497,"GN-309",2016-01-17,0,0,0,0,0,0,67
102,497,"GN-309",2016-01-16,0,4,0,0,0,0,67
103,497,"GN-309",2016-01-15,4,0,0,0,0,0,67
104,497,"GN-309",2016-01-14,4,0,0,0,0,0,67
105,497,"GN-309",2016-01-13,4,1,0,0,0,0,67
106,497,"GN-309",2016-01-12,5,2,0,7,0,0,67
107,497,"GN-309",2016-01-11,0,0,0,0,0,0,67
108,497,"GN-309",2016-01-10,0,0,0,0,0,0,67
109,497,"GN-309",2016-01-09,0,4,0,0,0,0,67
110,497,"GN-309",2016-01-08,4,2,0,0,0,0,67
111,497,"GN-309",2016-01-07,6,0,0,0,0,0,67
112,497,"GN-309",2016-01-06,6,3,0,0,0,0,67
113,497,"GN-309",2016-01-05,9,0,0,6,0,0,67
114,497,"GN-309",2016-01-04,3,2,0,5,0,0,67
115,497,"GN-309",2016-01-03,0,0,0,0,0,0,67
116,497,"GN-309",2016-01-02,0,0,0,0,0,0,67
117,497,"GN-309",2016-01-01,0,0,0,0,0,0,67
118,497,"GN-309",2015-12-31,0,3,0,0,0,0,67
119,497,"GN-309",2015-12-30,3,0,0,0,0,0,67
120,497,"GN-309",2015-12-29,3,3,0,0,0,0,67
121,497,"GN-309",2015-12-28,6,3,0,0,0,0,67
122,497,"GN-309",2015-12-27,9,0,0,0,0,0,67
123,497,"GN-309",2015-12-26,9,0,0,0,0,0,67
124,497,"GN-309",2015-12-25,9,0,0,0,0,0,67
125,497,"GN-309",2015-12-24,9,3,0,0,0,0,67
126,497,"GN-309",2015-12-23,12,2,0,10,0,0,67
127,497,"GN-309",2015-12-22,4,2,0,0,0,0,67
128,497,"GN-309",2015-12-21,6,0,0,0,0,0,67
129,497,"GN-309",2015-12-20,6,0,0,0,0,0,67
130,497,"GN-309",2015-12-19,6,3,0,0,0,0,67
131,497,"GN-309",2015-12-18,9,1,0,0,0,0,67
132,497,"GN-309",2015-12-17,10,2,0,10,0,0,67
133,497,"GN-309",2015-12-16,2,2,0,0,0,0,67
134,497,"GN-309",2015-12-15,4,0,0,0,0,0,67
135,489,"GN-301",2016-04-26,26,0,0,0,0,0,1260
136,489,"GN-301",2016-04-25,26,0,0,0,0,0,1260
137,489,"GN-301",2016-04-24,26,0,0,0,0,0,1260
138,489,"GN-301",2016-04-23,26,0,0,0,0,0,1260
139,489,"GN-301",2016-04-22,26,0,0,0,0,0,1260
140,489,"GN-301",2016-04-21,26,0,0,0,0,0,1260
141,489,"GN-301",2016-04-20,26,0,0,0,0,0,1260
142,489,"GN-301",2016-04-19,26,0,0,0,0,0,1260
143,489,"GN-301",2016-04-18,26,0,0,0,0,0,1260
144,489,"GN-301",2016-04-17,26,0,0,0,0,0,1260
145,489,"GN-301",2016-04-16,26,0,0,0,0,0,1260
146,489,"GN-301",2016-04-15,26,10,0,0,0,0,1260
147,489,"GN-301",2016-04-14,36,3,0,0,0,0,1260
148,489,"GN-301",2016-04-13,39,6,0,0,0,0,1260
149,489,"GN-301",2016-04-12,45,6,0,0,0,0,1260
150,489,"GN-301",2016-04-11,51,3,0,0,0,0,1260
151,489,"GN-301",2016-04-10,54,0,0,0,0,0,1260
152,489,"GN-301",2016-04-09,54,0,0,0,0,0,1260
153,489,"GN-301",2016-04-08,54,0,0,0,0,0,1260
154,489,"GN-301",2016-04-07,54,0,0,0,0,0,1260
155,489,"GN-301",2016-04-06,54,5,0,0,0,0,1260
156,489,"GN-301",2016-04-05,59,6,0,0,0,0,1260
157,489,"GN-301",2016-04-04,65,10,0,0,0,0,1260
158,489,"GN-301",2016-04-03,75,0,0,0,0,0,1260
159,489,"GN-301",2016-04-02,75,6,0,80,0,0,1260
160,489,"GN-301",2016-04-01,1,0,0,0,0,0,1260
161,489,"GN-301",2016-03-31,1,19,0,20,0,0,1260
162,489,"GN-301",2016-03-30,0,8,0,0,0,0,1260
163,489,"GN-301",2016-03-29,8,8,0,0,0,0,1260
164,489,"GN-301",2016-03-28,16,3,0,0,0,0,1260
165,489,"GN-301",2016-03-27,19,0,0,0,0,0,1260
166,489,"GN-301",2016-03-26,19,0,0,0,0,0,1260
167,489,"GN-301",2016-03-25,19,0,0,0,0,0,1260
168,489,"GN-301",2016-03-24,19,9,0,0,0,0,1260
169,489,"GN-301",2016-03-23,28,10,5,20,0,0,1260
170,489,"GN-301",2016-03-22,13,0,0,0,0,0,1260
171,489,"GN-301",2016-03-21,13,4,0,0,0,0,1260
172,489,"GN-301",2016-03-20,17,0,0,0,0,0,1260
173,489,"GN-301",2016-03-19,17,3,0,0,0,0,1260
174,489,"GN-301",2016-03-18,20,24,10,20,0,0,1260
175,489,"GN-301",2016-03-17,14,10,0,20,0,0,1260
176,489,"GN-301",2016-03-16,4,24,0,20,0,0,1260
177,489,"GN-301",2016-03-15,8,6,0,0,0,0,1260
178,489,"GN-301",2016-03-14,14,10,0,0,0,0,1260
179,489,"GN-301",2016-03-13,24,0,0,0,0,0,1260
180,489,"GN-301",2016-03-12,24,4,0,20,0,0,1260
181,489,"GN-301",2016-03-11,8,4,0,0,0,0,1260
182,489,"GN-301",2016-03-10,12,0,0,0,0,0,1260
183,489,"GN-301",2016-03-09,12,8,0,0,0,0,1260
184,489,"GN-301",2016-03-08,20,0,0,0,0,0,1260
185,489,"GN-301",2016-03-07,20,0,0,20,0,0,1260
186,489,"GN-301",2016-03-06,0,0,0,0,0,0,1260
187,489,"GN-301",2016-03-05,0,9,0,0,0,0,1260
188,489,"GN-301",2016-03-04,9,0,0,0,0,0,1260
189,489,"GN-301",2016-03-03,9,16,0,20,0,0,1260
190,489,"GN-301",2016-03-02,5,15,0,20,0,0,1260
191,489,"GN-301",2016-03-01,0,20,0,20,0,0,1260
192,489,"GN-301",2016-02-29,0,0,0,0,0,0,1260
193,489,"GN-301",2016-02-28,0,0,0,0,0,0,1260
194,489,"GN-301",2016-02-27,0,2,0,0,0,0,1260
195,489,"GN-301",2016-02-26,2,8,0,0,0,0,1260
196,489,"GN-301",2016-02-25,10,10,0,20,0,0,1260
197,489,"GN-301",2016-02-24,0,9,0,0,0,0,1260
198,489,"GN-301",2016-02-23,9,0,0,0,0,0,1260
199,489,"GN-301",2016-02-22,9,8,0,0,0,0,1260
200,489,"GN-301",2016-02-21,17,0,0,0,0,0,1260
201,489,"GN-301",2016-02-20,17,3,0,0,0,0,1260
202,489,"GN-301",2016-02-19,20,0,0,20,0,0,1260
203,489,"GN-301",2016-02-18,0,21,0,0,0,0,1260
204,489,"GN-301",2016-02-17,21,4,0,0,0,0,1260
205,489,"GN-301",2016-02-16,25,0,0,20,0,0,1260
206,489,"GN-301",2016-02-15,5,0,0,0,0,0,1260
207,489,"GN-301",2016-02-14,5,0,0,0,0,0,1260
208,489,"GN-301",2016-02-13,5,0,0,0,0,0,1260
209,489,"GN-301",2016-02-12,5,18,0,20,0,0,1260
210,489,"GN-301",2016-02-11,3,14,0,0,0,0,1260
211,489,"GN-301",2016-02-10,17,5,0,0,0,0,1260
212,489,"GN-301",2016-02-09,22,0,0,20,0,0,1260
213,489,"GN-301",2016-02-08,2,0,0,0,0,0,1260
214,489,"GN-301",2016-02-07,2,0,0,0,0,0,1260
215,489,"GN-301",2016-02-06,2,8,0,0,0,0,1260
216,489,"GN-301",2016-02-05,10,6,0,0,0,0,1260
217,489,"GN-301",2016-02-04,16,4,0,0,0,0,1260
218,489,"GN-301",2016-02-03,20,0,0,20,0,0,1260
219,489,"GN-301",2016-02-02,0,6,0,0,0,0,1260
220,489,"GN-301",2016-02-01,6,16,0,20,0,0,1260
221,489,"GN-301",2016-01-31,2,0,0,0,0,0,1260
222,489,"GN-301",2016-01-30,2,0,0,0,0,0,1260
223,489,"GN-301",2016-01-29,2,4,0,2,0,0,1260
224,489,"GN-301",2016-01-28,4,0,0,0,0,0,1260
225,489,"GN-301",2016-01-27,4,16,0,10,0,0,1260
226,489,"GN-301",2016-01-26,10,0,0,0,0,0,1260
227,489,"GN-301",2016-01-25,10,0,0,0,0,0,1260
228,489,"GN-301",2016-01-24,10,0,0,0,0,0,1260
229,489,"GN-301",2016-01-23,10,0,0,0,0,0,1260
230,489,"GN-301",2016-01-22,10,0,0,8,0,0,1260
231,489,"GN-301",2016-01-21,2,5,0,0,0,0,1260
232,489,"GN-301",2016-01-20,7,5,0,12,0,0,1260
233,489,"GN-301",2016-01-19,0,7,0,0,0,0,1260
234,489,"GN-301",2016-01-18,7,9,0,0,0,0,1260
235,489,"GN-301",2016-01-17,16,0,0,0,0,0,1260
236,489,"GN-301",2016-01-16,16,0,0,0,0,0,1260
237,489,"GN-301",2016-01-15,16,0,0,0,0,0,1260
238,489,"GN-301",2016-01-14,16,8,0,20,0,0,1260
239,489,"GN-301",2016-01-13,4,2,0,0,0,0,1260
240,489,"GN-301",2016-01-12,6,0,0,0,0,0,1260
241,489,"GN-301",2016-01-11,6,6,0,0,0,0,1260
242,489,"GN-301",2016-01-10,12,0,0,0,0,0,1260
243,489,"GN-301",2016-01-09,12,0,0,0,0,0,1260
244,489,"GN-301",2016-01-08,12,0,0,0,0,0,1260
245,489,"GN-301",2016-01-07,12,6,0,0,0,0,1260
246,489,"GN-301",2016-01-06,18,2,0,20,0,0,1260
247,489,"GN-301",2016-01-05,0,4,0,0,0,0,1260
248,489,"GN-301",2016-01-04,4,12,0,0,0,0,1260
249,489,"GN-301",2016-01-03,16,0,0,0,0,0,1260
250,489,"GN-301",2016-01-02,16,8,0,0,0,0,1260
251,489,"GN-301",2016-01-01,24,0,0,0,0,0,1260
252,489,"GN-301",2015-12-31,24,0,0,0,0,0,1260
253,489,"GN-301",2015-12-30,24,0,0,0,0,0,1260
254,489,"GN-301",2015-12-29,24,17,0,40,0,0,1260
255,489,"GN-301",2015-12-28,1,5,0,0,0,0,1260
256,489,"GN-301",2015-12-27,6,0,0,0,0,0,1260
257,489,"GN-301",2015-12-26,6,0,0,0,0,0,1260
258,489,"GN-301",2015-12-25,6,0,0,0,0,0,1260
259,489,"GN-301",2015-12-24,6,7,0,0,0,0,1260
260,489,"GN-301",2015-12-23,13,8,0,20,0,0,1260
261,489,"GN-301",2015-12-22,1,0,0,0,0,0,1260
262,489,"GN-301",2015-12-21,1,3,0,0,0,0,1260
263,489,"GN-301",2015-12-20,4,0,0,0,0,0,1260
264,489,"GN-301",2015-12-19,4,0,0,0,0,0,1260
265,489,"GN-301",2015-12-18,4,5,0,0,0,0,1260
266,489,"GN-301",2015-12-17,9,3,0,0,0,0,1260
267,489,"GN-301",2015-12-16,12,0,0,0,0,0,1260
268,489,"GN-301",2015-12-15,12,0,0,0,0,0,1260
269,474,"GN-286",2016-04-26,56,0,0,0,0,0,160
270,474,"GN-286",2016-04-25,56,0,0,0,0,0,160
271,474,"GN-286",2016-04-24,56,0,0,0,0,0,160
272,474,"GN-286",2016-04-23,56,0,0,0,0,0,160
273,474,"GN-286",2016-04-22,56,0,0,0,0,0,160
274,474,"GN-286",2016-04-21,56,0,0,0,0,0,160
275,474,"GN-286",2016-04-20,56,0,0,0,0,0,160
276,474,"GN-286",2016-04-19,56,0,0,0,0,0,160
277,474,"GN-286",2016-04-18,56,0,0,0,0,0,160
278,474,"GN-286",2016-04-17,56,0,0,0,0,0,160
279,474,"GN-286",2016-04-16,56,0,0,0,0,0,160
280,474,"GN-286",2016-04-15,56,0,0,0,0,0,160
281,474,"GN-286",2016-04-14,56,0,0,40,0,0,160
282,474,"GN-286",2016-04-13,16,2,0,0,0,0,160
283,474,"GN-286",2016-04-12,18,10,2,0,0,0,160
284,474,"GN-286",2016-04-11,26,0,0,0,0,0,160
285,474,"GN-286",2016-04-10,26,0,0,0,0,0,160
286,474,"GN-286",2016-04-09,26,14,0,28,0,0,160
287,474,"GN-286",2016-04-08,12,0,0,0,0,0,160
288,474,"GN-286",2016-04-07,12,17,0,0,0,0,160
289,474,"GN-286",2016-04-06,29,0,0,0,0,0,160
290,474,"GN-286",2016-04-05,29,5,0,0,0,0,160
291,474,"GN-286",2016-04-04,34,0,0,0,0,0,160
292,474,"GN-286",2016-04-03,34,0,0,0,0,0,160
293,474,"GN-286",2016-04-02,34,1,0,0,0,0,160
294,474,"GN-286",2016-04-01,35,0,0,0,0,0,160
295,474,"GN-286",2016-03-31,35,9,0,0,0,0,160
296,474,"GN-286",2016-03-30,44,0,0,0,0,0,160
297,474,"GN-286",2016-03-29,44,0,0,0,0,0,160
298,474,"GN-286",2016-03-28,44,0,0,0,0,0,160
299,474,"GN-286",2016-03-27,44,0,0,0,0,0,160
300,474,"GN-286",2016-03-26,44,0,0,20,0,0,160
301,474,"GN-286",2016-03-25,24,0,0,0,0,0,160
302,474,"GN-286",2016-03-24,24,0,0,0,0,0,160
303,474,"GN-286",2016-03-23,24,0,0,0,0,0,160
304,474,"GN-286",2016-03-22,24,5,0,0,0,0,160
305,474,"GN-286",2016-03-21,29,0,0,0,0,0,160
306,474,"GN-286",2016-03-20,29,0,0,0,0,0,160
307,474,"GN-286",2016-03-19,29,2,0,0,0,0,160
308,474,"GN-286",2016-03-18,31,0,0,0,0,0,160
309,474,"GN-286",2016-03-17,31,0,0,0,0,0,160
310,474,"GN-286",2016-03-16,31,0,0,0,0,0,160
